"","betaCatenin","CD11b","CD11c","CD138","CD16","CD20","CD209","CD3","CD31","CD4","CD45","CD45RO","CD56","CD63","CD68","CD8","dsDNA","EGFR","FoxP3","H3K27me3","H3K9ac","HLA_Class_1","HLADR","IDO","Keratin17","Keratin6","Ki67","Lag3","MPO","p53","panKeratin","PD1","PDL1","pS6","SMA","Vimentin","centroidX","centroidY"
"Cell_461",0,0,0,0,0,0.899846673,0,0,0,0,0.504137158,0,0,0,0,0,0.775542378,0,0,0.762126207,0.523484945,0.531662941,0.683564603,0,0,0,0,0,0,0,0.171063408,0,0,0.496300668,0,0,1329.96106,1847.692993
"Cell_462",0,0,0,0,0,0.75291723,0,0,0,0,0.581855059,0.023420112,0,0,0,0,0.762469709,0,0,0.710602403,0.587747395,0.349905074,0.615342915,0,0,0,0,0,0,0,0,0,0,0.393271804,0,0,966.9243774,1848.64502
"Cell_463",0,0,0,0,0,0.891281664,0,0,0,0,0.561456859,0.071173131,0,0,0,0,0.758859336,0,0,0.759695768,0.616719246,0.625641763,0.541557908,0,0,0,0,0,0,0,0.023164731,0,0,0.478105336,0,0,1305.241943,1846.319946
"Cell_464",0,0,0,0,0,0.750979185,0,0,0,0,0.671806037,0,0,0,0,0,0.735910535,0,0,0.745789587,0.648325145,0.532315195,0.564654171,0,0,0,0,0,0,0,0,0,0,0.447182298,0,0,1083.96106,1849.05603
"Cell_465",0,0,0,0,0,0.730026245,0,0,0,0,0.497456551,0.005536676,0,0,0,0,0.72872591,0,0,0.795645356,0.638396859,0.330891967,0.56040895,0,0,0,0,0,0,0,0,0,0,0.437931627,0,0,933.3052979,1849.031006
"Cell_466",0,0,0,0,0,0.762497544,0,0,0,0,0.4596861,0.044837646,0,0,0,0,0.617685199,0,0,0.717413545,0.629356265,0.280161738,0.646290302,0,0,0,0,0,0,0,0,0,0,0.451840371,0,0,948.9268188,1850.390015
"Cell_467",0,0,0,0,0,0.629819453,0,0,0,0,0.482973188,0,0,0,0,0,0.742278278,0,0,0.638297021,0.559202254,0.203927189,0.508985937,0,0,0,0,0,0,0,0,0,0,0.285299003,0,0,980.611084,1849.685059
"Cell_468",0,0,0,0,0,0.783538997,0,0,0,0,0.481373101,0.046321891,0,0,0,0.06665425,0.739354014,0,0,0.667042732,0.534273326,0.444703996,0.654462755,0,0,0,0,0,0,0,0,0,0,0.420241326,0,0,896.9193726,1852.918945
"Cell_469",0,0,0,0,0,0.920291543,0,0,0,0,0.5640288,0,0,0,0,0,0.728231311,0,0,0.685148895,0.527496874,0.678299427,0.649563015,0,0,0,0,0,0,0,0,0,0,0.4687621,0,0,1141.899048,1854.894043
"Cell_470",0,0,0,0,0,0.654190123,0,0,0,0,0.55555737,0,0,0,0,0,0.585693479,0,0,0.623947501,0.570251763,0.394903362,0.472095042,0,0,0,0,0,0,0,0,0,0,0.344852954,0,0,1157.098999,1852.084961
"Cell_471",0,0,0,0,0,0.803429186,0,0.106578775,0,0.241138846,0.647663295,0.361536443,0,0,0,0,0.69952631,0,0,0.678711534,0.595564961,0.440753549,0.613269925,0,0,0,0,0,0,0,0,0,0,0.418944538,0,0,1225.098999,1854.130005
"Cell_472",0,0,0,0,0,0.762490511,0,0,0,0,0.509320617,0.019933067,0,0,0,0,0.759507,0,0,0.741113067,0.638193071,0.463812739,0.582809091,0,0,0,0,0,0,0,0,0,0,0.394599468,0,0,1115.491943,1853.781006
"Cell_473",0,0,0,0,0,0.724418461,0,0,0,0,0.532095909,0,0,0,0,0,0.644127548,0,0,0.557782471,0.283491939,0.341829419,0.615974844,0,0,0,0,0,0,0,0,0,0,0.169810772,0,0,803.1500244,1856.063965
"Cell_474",0,0,0,0,0,0.736531377,0,0.14549084,0,0,0.618102849,0.412040681,0,0,0,0.198549792,0.737298846,0,0,0.686928511,0.692490935,0.353925437,0.531701505,0,0,0,0,0,0,0,0,0,0,0.351370066,0,0,878.8436279,1856.821045
"Cell_475",0,0,0,0,0,0.725497544,0,0.045061655,0,0,0.470792204,0.168809056,0,0,0,0,0.786419034,0,0,0.815535426,0.691353738,0.332645088,0.57450819,0,0,0,0,0,0,0,0,0,0,0.489588976,0,0,1438.146973,1856.628052
"Cell_476",0,0,0,0.011880015,0,0.590583205,0,0.208426997,0,0.044767626,0.672839165,0.236747429,0,0,0,0.056746729,0.744505763,0,0,0.782611549,0.641024649,0.496544749,0.468345106,0,0,0,0,0,0,0,0,0,0,0.409354955,0,0,1504.342041,1856.883057
"Cell_477",0,0,0,0,0,0.690802693,0,0.009701694,0,0,0.416073114,0.089240663,0,0,0,0.023216531,0.742878735,0,0,0.719269574,0.544089437,0.420249909,0.524885833,0,0,0,0,0,0,0,0,0,0,0.352362424,0,0,769.5307007,1861.946045
"Cell_478",0,0,0,0,0,0.740217447,0,0.002230806,0,0,0.547110319,0.105147041,0,0.076486409,0,0,0.746825874,0,0,0.736183286,0.519331217,0.512291074,0.588582873,0,0,0.011971557,0,0,0,0,0.036259837,0,0,0.412182033,0,0,674.6871948,1866.942017
"Cell_479",0,0,0,0,0,0.719761789,0,0,0,0,0.589090168,0.008138379,0,0,0,0,0.728409648,0,0,0.778545856,0.644638181,0.451695323,0.539574206,0,0,0.174754575,0,0,0,0,0,0,0,0.396316469,0,0,835.3922119,1859.589966
"Cell_480",0,0,0,0,0,0.672755957,0,0,0,0,0.547620535,0.073523939,0,0,0,0,0.754535258,0,0,0.80585748,0.649180412,0.41086334,0.472839564,0,0,0,0,0,0,0,0,0,0,0.446435243,0,0,1172.5,1861.930054
