"Industry (English) / Industrie (Anglais)","Industry (French) / Industrie (Français)","Year / Année","NAICS Number / Numéro SCIAN","Total - Releases to Air (tonnes) / Total - Rejets dans l'air (tonnes)","Facility Count / Nombres d'installations"
"Electric lighting equipment manufacturing","Fabrication de matériel électrique d'éclairage",2016,3351,0.014980000,1
"Electric lighting equipment manufacturing","Fabrication de matériel électrique d'éclairage",2024,3351,0.000110000,1
"Electric lighting equipment manufacturing","Fabrication de matériel électrique d'éclairage",2023,3351,0.000110000,1
"Electric lighting equipment manufacturing","Fabrication de matériel électrique d'éclairage",2017,3351,0.011450000,1
"Electric lighting equipment manufacturing","Fabrication de matériel électrique d'éclairage",2018,3351,0.007800000,1
"Electric lighting equipment manufacturing","Fabrication de matériel électrique d'éclairage",2015,3351,0.004020000,1
"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",2016,2211,471767.502429556,250
"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",2021,2211,326999.519061144,249
"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",2015,2211,475764.455813122,256
"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",2022,2211,306308.215718076,255
"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",2020,2211,319018.960185630,251
"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",2019,2211,380451.461186208,255
"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",2023,2211,281008.406729686,255
"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",2024,2211,235933.697548493,255
"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",2018,2211,408444.145159964,257
"Electric power generation, transmission and distribution","Production, transport et distribution d'électricité",2017,2211,459380.754777029,242
"Electrical equipment manufacturing","Fabrication de matériel électrique",2015,3353,19.933128000,4
"Electrical equipment manufacturing","Fabrication de matériel électrique",2018,3353,11.751326300,6
"Electrical equipment manufacturing","Fabrication de matériel électrique",2022,3353,0.144821471,7
"Electrical equipment manufacturing","Fabrication de matériel électrique",2023,3353,0.144163080,7
"Electrical equipment manufacturing","Fabrication de matériel électrique",2017,3353,17.315500500,5
"Electrical equipment manufacturing","Fabrication de matériel électrique",2024,3353,37.936915423,8
"Electrical equipment manufacturing","Fabrication de matériel électrique",2019,3353,17.762479300,8
"Electrical equipment manufacturing","Fabrication de matériel électrique",2021,3353,3.604104500,9
"Electrical equipment manufacturing","Fabrication de matériel électrique",2016,3353,17.945511000,4
"Electrical equipment manufacturing","Fabrication de matériel électrique",2020,3353,15.707663991,9
"Engine, turbine and power transmission equipment manufacturing","Fabrication de moteurs, de turbines et de matériel de transmission de puissance",2022,3336,15.742300000,1
"Engine, turbine and power transmission equipment manufacturing","Fabrication de moteurs, de turbines et de matériel de transmission de puissance",2015,3336,14.079000000,2
"Engine, turbine and power transmission equipment manufacturing","Fabrication de moteurs, de turbines et de matériel de transmission de puissance",2023,3336,34.895800000,1
"Engine, turbine and power transmission equipment manufacturing","Fabrication de moteurs, de turbines et de matériel de transmission de puissance",2018,3336,12.841000000,3
"Engine, turbine and power transmission equipment manufacturing","Fabrication de moteurs, de turbines et de matériel de transmission de puissance",2019,3336,31.429000000,4
"Engine, turbine and power transmission equipment manufacturing","Fabrication de moteurs, de turbines et de matériel de transmission de puissance",2016,3336,39.247000000,3
"Engine, turbine and power transmission equipment manufacturing","Fabrication de moteurs, de turbines et de matériel de transmission de puissance",2017,3336,9.618000000,2
"Engine, turbine and power transmission equipment manufacturing","Fabrication de moteurs, de turbines et de matériel de transmission de puissance",2020,3336,14.278400000,3
"Engine, turbine and power transmission equipment manufacturing","Fabrication de moteurs, de turbines et de matériel de transmission de puissance",2021,3336,26.813800000,1
"Facilities support services","Services de soutien d'installations",2020,5612,0.483300000,1
"Facilities support services","Services de soutien d'installations",2017,5612,0.337000000,1
"Facilities support services","Services de soutien d'installations",2021,5612,0.391000000,1
"Facilities support services","Services de soutien d'installations",2024,5612,0.892500000,1
"Facilities support services","Services de soutien d'installations",2018,5612,0.701300000,1
"Facilities support services","Services de soutien d'installations",2023,5612,0.838000000,1
"Facilities support services","Services de soutien d'installations",2022,5612,1.189000000,1
"Facilities support services","Services de soutien d'installations",2016,5612,0.410500000,1
"Facilities support services","Services de soutien d'installations",2019,5612,0.847300000,1
"Facilities support services","Services de soutien d'installations",2015,5612,0.772400000,1
"Farm product merchant wholesalers","Grossistes-marchands de produits agricoles",2022,4111,623.956698000,37
"Farm product merchant wholesalers","Grossistes-marchands de produits agricoles",2024,4111,823.190375000,46
"Farm product merchant wholesalers","Grossistes-marchands de produits agricoles",2020,4111,768.841936000,43
"Farm product merchant wholesalers","Grossistes-marchands de produits agricoles",2015,4111,467.598506000,23
"Farm product merchant wholesalers","Grossistes-marchands de produits agricoles",2017,4111,522.112296000,30
"Farm product merchant wholesalers","Grossistes-marchands de produits agricoles",2016,4111,557.586602000,31
"Farm product merchant wholesalers","Grossistes-marchands de produits agricoles",2021,4111,694.510852000,46
"Farm product merchant wholesalers","Grossistes-marchands de produits agricoles",2023,4111,693.177517000,47
"Farm product merchant wholesalers","Grossistes-marchands de produits agricoles",2018,4111,663.590654000,31
"Farm product merchant wholesalers","Grossistes-marchands de produits agricoles",2019,4111,375.513488000,32
"Fibre, yarn and thread mills","Usines de fibres, de filés et de fils",2015,3131,0.374000000,1
"Fibre, yarn and thread mills","Usines de fibres, de filés et de fils",2017,3131,0.353000000,1
"Fibre, yarn and thread mills","Usines de fibres, de filés et de fils",2024,3131,101663.000000000,1
"Fibre, yarn and thread mills","Usines de fibres, de filés et de fils",2023,3131,43.005000000,1
"Fibre, yarn and thread mills","Usines de fibres, de filés et de fils",2018,3131,0.328000000,1
"Fibre, yarn and thread mills","Usines de fibres, de filés et de fils",2016,3131,0.365000000,1
"Fibre, yarn and thread mills","Usines de fibres, de filés et de fils",2019,3131,0.301900000,1
"Fibre, yarn and thread mills","Usines de fibres, de filés et de fils",2020,3131,0.320300000,1
"Footwear manufacturing","Fabrication de chaussures",2022,3162,35.795000000,1
"Footwear manufacturing","Fabrication de chaussures",2019,3162,26.832000000,1
"Footwear manufacturing","Fabrication de chaussures",2018,3162,31.067600000,1
"Footwear manufacturing","Fabrication de chaussures",2016,3162,24.727100000,1
"Footwear manufacturing","Fabrication de chaussures",2015,3162,24.030000000,1
"Footwear manufacturing","Fabrication de chaussures",2023,3162,33.799000000,1
"Footwear manufacturing","Fabrication de chaussures",2024,3162,27.053000000,1
"Footwear manufacturing","Fabrication de chaussures",2017,3162,23.480400000,1
"Footwear manufacturing","Fabrication de chaussures",2021,3162,31.429000000,1
"Footwear manufacturing","Fabrication de chaussures",2020,3162,28.225000000,1
"Forging and stamping","Forgeage et estampage",2017,3321,691.189341483,10
"Forging and stamping","Forgeage et estampage",2021,3321,664.085602517,11
"Forging and stamping","Forgeage et estampage",2020,3321,471.518540307,12
"Forging and stamping","Forgeage et estampage",2023,3321,233.862115679,12
"Forging and stamping","Forgeage et estampage",2019,3321,538.869745614,11
"Forging and stamping","Forgeage et estampage",2016,3321,499.904794145,11
"Forging and stamping","Forgeage et estampage",2018,3321,668.054850418,12
"Forging and stamping","Forgeage et estampage",2015,3321,581.368485622,10
"Forging and stamping","Forgeage et estampage",2022,3321,396.136887105,12
"Forging and stamping","Forgeage et estampage",2024,3321,165.598804363,11
"Foundation, structure, and building exterior contractors","Entrepreneurs en travaux de fondations, de structure, et d'extérieur de bâtiment",2015,2381,0.316000000,1
"Foundries","Fonderies",2023,3315,1798.520688106,40
"Foundries","Fonderies",2024,3315,1862.680690587,38
"Foundries","Fonderies",2016,3315,18756.686089020,54
"Foundries","Fonderies",2018,3315,15070.715067418,50
"Foundries","Fonderies",2015,3315,16769.531682456,53
"Foundries","Fonderies",2017,3315,21357.883418434,51
"Foundries","Fonderies",2020,3315,2075.854175755,45
"Foundries","Fonderies",2021,3315,1893.928402258,45
"Foundries","Fonderies",2019,3315,1813.125691957,45
"Foundries","Fonderies",2022,3315,1720.190648056,43
"Fruit and vegetable preserving and specialty food manufacturing","Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires",2021,3114,831.922368000,10
"Fruit and vegetable preserving and specialty food manufacturing","Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires",2024,3114,780.894709000,11
"Fruit and vegetable preserving and specialty food manufacturing","Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires",2020,3114,775.685019000,10
"Fruit and vegetable preserving and specialty food manufacturing","Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires",2017,3114,842.412900000,12
"Fruit and vegetable preserving and specialty food manufacturing","Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires",2019,3114,725.407148000,10
"Fruit and vegetable preserving and specialty food manufacturing","Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires",2023,3114,731.806960000,10
"Fruit and vegetable preserving and specialty food manufacturing","Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires",2015,3114,667.762000000,13
"Fruit and vegetable preserving and specialty food manufacturing","Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires",2018,3114,842.579000000,11
"Fruit and vegetable preserving and specialty food manufacturing","Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires",2016,3114,810.341800000,13
"Fruit and vegetable preserving and specialty food manufacturing","Mise en conserve de fruits et de légumes et fabrication de spécialités alimentaires",2022,3114,806.952001000,10
"Funeral services","Services funéraires",2022,8122,0.000000004,1
"Funeral services","Services funéraires",2015,8122,0.000000004,1
"Funeral services","Services funéraires",2021,8122,0.000000004,1
"Funeral services","Services funéraires",2018,8122,0.000000003,1
"Funeral services","Services funéraires",2016,8122,0.000000004,1
"Funeral services","Services funéraires",2017,8122,0.000000004,1
"Funeral services","Services funéraires",2023,8122,0.000000004,1
"Funeral services","Services funéraires",2020,8122,0.000000004,1
"Funeral services","Services funéraires",2024,8122,0.000000004,1
"Funeral services","Services funéraires",2019,8122,0.000000004,1
"General freight trucking","Transport par camion de marchandises diverses",2024,4841,418.591000000,2
"General freight trucking","Transport par camion de marchandises diverses",2022,4841,719.257000000,2
"General freight trucking","Transport par camion de marchandises diverses",2019,4841,125.027000000,1
"General freight trucking","Transport par camion de marchandises diverses",2018,4841,73.841000000,1
"General freight trucking","Transport par camion de marchandises diverses",2023,4841,362.917000000,2
"General freight trucking","Transport par camion de marchandises diverses",2017,4841,44.059000000,1
"General freight trucking","Transport par camion de marchandises diverses",2021,4841,365.249000000,2
"General freight trucking","Transport par camion de marchandises diverses",2020,4841,1084.099000000,2
"General medical and surgical hospitals","Hôpitaux généraux et hôpitaux de soins chirurgicaux",2021,6221,799.777318430,9
"General medical and surgical hospitals","Hôpitaux généraux et hôpitaux de soins chirurgicaux",2024,6221,90.698280000,4
"General medical and surgical hospitals","Hôpitaux généraux et hôpitaux de soins chirurgicaux",2016,6221,550.859706900,11
"General medical and surgical hospitals","Hôpitaux généraux et hôpitaux de soins chirurgicaux",2022,6221,678.907097050,7
"General medical and surgical hospitals","Hôpitaux généraux et hôpitaux de soins chirurgicaux",2018,6221,669.388249500,10
"General medical and surgical hospitals","Hôpitaux généraux et hôpitaux de soins chirurgicaux",2017,6221,547.287751300,12
"General medical and surgical hospitals","Hôpitaux généraux et hôpitaux de soins chirurgicaux",2015,6221,588.559159800,11
"General medical and surgical hospitals","Hôpitaux généraux et hôpitaux de soins chirurgicaux",2019,6221,713.139218540,8
"General medical and surgical hospitals","Hôpitaux généraux et hôpitaux de soins chirurgicaux",2023,6221,93.330870960,6
"General medical and surgical hospitals","Hôpitaux généraux et hôpitaux de soins chirurgicaux",2020,6221,654.777868480,9
"Glass and glass product manufacturing","Fabrication de verre et de produits en verre",2020,3272,2025.090280064,9
"Glass and glass product manufacturing","Fabrication de verre et de produits en verre",2022,3272,1881.698823200,7
"Glass and glass product manufacturing","Fabrication de verre et de produits en verre",2015,3272,2355.170223400,11
"Glass and glass product manufacturing","Fabrication de verre et de produits en verre",2017,3272,2117.867348000,9
"Glass and glass product manufacturing","Fabrication de verre et de produits en verre",2021,3272,1943.288344000,8
"Glass and glass product manufacturing","Fabrication de verre et de produits en verre",2016,3272,2171.265300100,10
"Glass and glass product manufacturing","Fabrication de verre et de produits en verre",2019,3272,2031.227803060,9
"Glass and glass product manufacturing","Fabrication de verre et de produits en verre",2023,3272,1792.168422200,8
"Glass and glass product manufacturing","Fabrication de verre et de produits en verre",2024,3272,1842.897261900,8
"Glass and glass product manufacturing","Fabrication de verre et de produits en verre",2018,3272,2055.337662700,9
"Grain and oilseed milling","Mouture de grains céréaliers et de graines oléagineuses",2015,3112,8063.269000000,38
"Grain and oilseed milling","Mouture de grains céréaliers et de graines oléagineuses",2021,3112,9741.135018000,46
"Grain and oilseed milling","Mouture de grains céréaliers et de graines oléagineuses",2017,3112,6865.376300000,39
"Grain and oilseed milling","Mouture de grains céréaliers et de graines oléagineuses",2018,3112,7340.102500000,41
"Grain and oilseed milling","Mouture de grains céréaliers et de graines oléagineuses",2020,3112,9480.655573999,45
"Grain and oilseed milling","Mouture de grains céréaliers et de graines oléagineuses",2022,3112,10795.786011000,46
"Grain and oilseed milling","Mouture de grains céréaliers et de graines oléagineuses",2024,3112,12044.769947000,46
"Grain and oilseed milling","Mouture de grains céréaliers et de graines oléagineuses",2023,3112,10226.954706000,45
"Grain and oilseed milling","Mouture de grains céréaliers et de graines oléagineuses",2019,3112,8767.037000000,43
"Grain and oilseed milling","Mouture de grains céréaliers et de graines oléagineuses",2016,3112,7291.097200000,39
"Greenhouse, nursery and floriculture production","Culture en serre et en pépinière, et floriculture",2016,1114,49.155000000,2
"Greenhouse, nursery and floriculture production","Culture en serre et en pépinière, et floriculture",2018,1114,33.984000000,2
"Greenhouse, nursery and floriculture production","Culture en serre et en pépinière, et floriculture",2023,1114,111.901600000,3
"Greenhouse, nursery and floriculture production","Culture en serre et en pépinière, et floriculture",2020,1114,46.266000000,2
"Greenhouse, nursery and floriculture production","Culture en serre et en pépinière, et floriculture",2024,1114,168.881400000,4
"Greenhouse, nursery and floriculture production","Culture en serre et en pépinière, et floriculture",2021,1114,45.593000000,2
"Greenhouse, nursery and floriculture production","Culture en serre et en pépinière, et floriculture",2015,1114,17.551000000,2
"Greenhouse, nursery and floriculture production","Culture en serre et en pépinière, et floriculture",2017,1114,45.727000000,2
"Greenhouse, nursery and floriculture production","Culture en serre et en pépinière, et floriculture",2022,1114,126.698800000,3
"Greenhouse, nursery and floriculture production","Culture en serre et en pépinière, et floriculture",2019,1114,51.798000000,2
"Hardware manufacturing","Fabrication d'articles de quincaillerie",2015,3325,0.000010000,2
"Hardware manufacturing","Fabrication d'articles de quincaillerie",2019,3325,0.002800000,1
"Hardware manufacturing","Fabrication d'articles de quincaillerie",2021,3325,178.646100000,2
"Hardware manufacturing","Fabrication d'articles de quincaillerie",2018,3325,3.521800000,2
"Hardware manufacturing","Fabrication d'articles de quincaillerie",2023,3325,82.815810600,2
"Hardware manufacturing","Fabrication d'articles de quincaillerie",2020,3325,52.645300000,2
"Hardware manufacturing","Fabrication d'articles de quincaillerie",2024,3325,84.390305100,2
"Hardware manufacturing","Fabrication d'articles de quincaillerie",2022,3325,148.597900000,2
"Highway, street and bridge construction","Construction de routes, de rues et de ponts",2021,2373,161.696986000,15
"Highway, street and bridge construction","Construction de routes, de rues et de ponts",2018,2373,191.802900000,12
"Highway, street and bridge construction","Construction de routes, de rues et de ponts",2020,2373,108.228070000,12
"Highway, street and bridge construction","Construction de routes, de rues et de ponts",2019,2373,76.686760000,12
"Highway, street and bridge construction","Construction de routes, de rues et de ponts",2017,2373,213.439400000,14
"Highway, street and bridge construction","Construction de routes, de rues et de ponts",2016,2373,156.691100000,14
"Highway, street and bridge construction","Construction de routes, de rues et de ponts",2023,2373,32.149602000,7
"Highway, street and bridge construction","Construction de routes, de rues et de ponts",2022,2373,94.967008000,11
"Highway, street and bridge construction","Construction de routes, de rues et de ponts",2024,2373,94.662508000,7
"Highway, street and bridge construction","Construction de routes, de rues et de ponts",2015,2373,253.454400000,12
"Household and institutional furniture and kitchen cabinet manufacturing","Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine",2020,3371,1990.313943000,30
"Household and institutional furniture and kitchen cabinet manufacturing","Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine",2015,3371,2921.695300000,33
"Household and institutional furniture and kitchen cabinet manufacturing","Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine",2017,3371,3238.175600000,32
"Household and institutional furniture and kitchen cabinet manufacturing","Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine",2021,3371,2367.528200000,31
"Household and institutional furniture and kitchen cabinet manufacturing","Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine",2024,3371,1672.473500000,27
"Household and institutional furniture and kitchen cabinet manufacturing","Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine",2023,3371,1872.296200000,28
"Household and institutional furniture and kitchen cabinet manufacturing","Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine",2022,3371,2258.635800000,31
"Household and institutional furniture and kitchen cabinet manufacturing","Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine",2018,3371,2793.769600000,32
"Household and institutional furniture and kitchen cabinet manufacturing","Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine",2016,3371,2719.954100000,32
"Household and institutional furniture and kitchen cabinet manufacturing","Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine",2019,3371,2059.355040000,32
"Household appliance manufacturing","Fabrication d'appareils ménagers",2020,3352,0.000000000,1
"Household appliance manufacturing","Fabrication d'appareils ménagers",2019,3352,0.000000000,1
"Household appliance manufacturing","Fabrication d'appareils ménagers",2023,3352,0.000025000,1
"Household appliance manufacturing","Fabrication d'appareils ménagers",2017,3352,0.066000000,1
"Household appliance manufacturing","Fabrication d'appareils ménagers",2016,3352,0.038600000,1
"Household appliance manufacturing","Fabrication d'appareils ménagers",2024,3352,13.047519000,1
"Household appliance manufacturing","Fabrication d'appareils ménagers",2021,3352,0.000030000,1
"Household appliance manufacturing","Fabrication d'appareils ménagers",2018,3352,0.000000000,1
"Household appliance manufacturing","Fabrication d'appareils ménagers",2022,3352,48.445720000,1
"Household appliance manufacturing","Fabrication d'appareils ménagers",2015,3352,0.651100000,2
"Industrial machinery manufacturing","Fabrication de machines industrielles",2019,3332,13.284790300,5
"Industrial machinery manufacturing","Fabrication de machines industrielles",2015,3332,13.294348800,2
"Industrial machinery manufacturing","Fabrication de machines industrielles",2017,3332,11.342039000,3
"Industrial machinery manufacturing","Fabrication de machines industrielles",2024,3332,19.751960880,7
"Industrial machinery manufacturing","Fabrication de machines industrielles",2020,3332,15.894466400,5
"Industrial machinery manufacturing","Fabrication de machines industrielles",2022,3332,9.531753500,6
"Industrial machinery manufacturing","Fabrication de machines industrielles",2023,3332,7.920683320,5
"Industrial machinery manufacturing","Fabrication de machines industrielles",2018,3332,9.891283000,7
"Industrial machinery manufacturing","Fabrication de machines industrielles",2016,3332,11.883342000,3
"Industrial machinery manufacturing","Fabrication de machines industrielles",2021,3332,16.049590500,6
"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie",2015,3311,62488.701767463,21
"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie",2016,3311,57173.700896198,21
"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie",2021,3311,53486.348867494,19
"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie",2023,3311,60457.843231506,19
"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie",2019,3311,64505.724269626,20
"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie",2022,3311,56366.605710897,19
"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie",2017,3311,63867.464042161,19
"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie",2024,3311,51715.473740549,19
"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie",2020,3311,53401.277647004,19
"Iron and steel mills and ferro-alloy manufacturing","Sidérurgie",2018,3311,69746.755030502,19
"Lessors of real estate","Bailleurs de biens immobiliers",2017,5311,4.462000000,3
"Lessors of real estate","Bailleurs de biens immobiliers",2018,5311,4.462000000,3
"Lessors of real estate","Bailleurs de biens immobiliers",2015,5311,4.459000000,3
"Lessors of real estate","Bailleurs de biens immobiliers",2016,5311,4.459000000,3
"Lime and gypsum product manufacturing","Fabrication de chaux et de produits en gypse",2016,3274,11726.229053000,19
"Lime and gypsum product manufacturing","Fabrication de chaux et de produits en gypse",2018,3274,11502.549418000,19
"Lime and gypsum product manufacturing","Fabrication de chaux et de produits en gypse",2015,3274,10331.405683300,19
"Lime and gypsum product manufacturing","Fabrication de chaux et de produits en gypse",2023,3274,10163.818794000,17
"Lime and gypsum product manufacturing","Fabrication de chaux et de produits en gypse",2021,3274,8719.356214000,17
"Lime and gypsum product manufacturing","Fabrication de chaux et de produits en gypse",2024,3274,10769.694845000,17
"Lime and gypsum product manufacturing","Fabrication de chaux et de produits en gypse",2017,3274,11981.813739000,19
"Lime and gypsum product manufacturing","Fabrication de chaux et de produits en gypse",2022,3274,9862.412009000,17
"Lime and gypsum product manufacturing","Fabrication de chaux et de produits en gypse",2019,3274,17126.093540000,20
"Lime and gypsum product manufacturing","Fabrication de chaux et de produits en gypse",2020,3274,10997.233384000,19
"Logging","Exploitation forestière",2018,1133,61.977000000,1
"Logging","Exploitation forestière",2022,1133,54.460000000,1
"Logging","Exploitation forestière",2023,1133,58.880000000,1
"Logging","Exploitation forestière",2024,1133,65.810000000,1
"Logging","Exploitation forestière",2021,1133,82.150000000,1
"Logging","Exploitation forestière",2016,1133,64.313000000,1
"Logging","Exploitation forestière",2020,1133,91.170000000,1
"Logging","Exploitation forestière",2015,1133,77.121000000,1
"Logging","Exploitation forestière",2017,1133,65.883000000,1
"Logging","Exploitation forestière",2019,1133,104.141000000,1
"Machine shops, turned product, and screw, nut and bolt manufacturing","Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",2019,3327,15.427414840,7
"Machine shops, turned product, and screw, nut and bolt manufacturing","Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",2017,3327,13.102206300,7
"Machine shops, turned product, and screw, nut and bolt manufacturing","Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",2024,3327,4.410149581,7
"Machine shops, turned product, and screw, nut and bolt manufacturing","Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",2022,3327,31.568611750,8
"Machine shops, turned product, and screw, nut and bolt manufacturing","Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",2016,3327,21.031925300,9
"Machine shops, turned product, and screw, nut and bolt manufacturing","Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",2015,3327,48.795661900,9
"Machine shops, turned product, and screw, nut and bolt manufacturing","Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",2020,3327,37.542991256,8
"Machine shops, turned product, and screw, nut and bolt manufacturing","Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",2021,3327,41.420868357,7
"Machine shops, turned product, and screw, nut and bolt manufacturing","Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",2023,3327,4.410610717,8
"Machine shops, turned product, and screw, nut and bolt manufacturing","Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",2018,3327,12.046001040,11
"Meat product manufacturing","Fabrication de produits de viande",2020,3116,1870.246960000,23
"Meat product manufacturing","Fabrication de produits de viande",2021,3116,1359.305870000,26
"Meat product manufacturing","Fabrication de produits de viande",2024,3116,1347.359930000,30
"Meat product manufacturing","Fabrication de produits de viande",2022,3116,1305.787100000,30
"Meat product manufacturing","Fabrication de produits de viande",2015,3116,1394.769900000,21
"Meat product manufacturing","Fabrication de produits de viande",2018,3116,1746.851300000,23
"Meat product manufacturing","Fabrication de produits de viande",2023,3116,1329.449200000,30
"Meat product manufacturing","Fabrication de produits de viande",2016,3116,1192.286800000,19
"Meat product manufacturing","Fabrication de produits de viande",2019,3116,1605.370766000,23
"Meat product manufacturing","Fabrication de produits de viande",2017,3116,1450.182000000,21
"Medical equipment and supplies manufacturing","Fabrication de fournitures et de matériel médicaux",2021,3391,6.233036000,2
"Medical equipment and supplies manufacturing","Fabrication de fournitures et de matériel médicaux",2024,3391,6.531000000,2
"Medical equipment and supplies manufacturing","Fabrication de fournitures et de matériel médicaux",2023,3391,6.656067000,3
"Medical equipment and supplies manufacturing","Fabrication de fournitures et de matériel médicaux",2020,3391,11.286056000,3
"Medical equipment and supplies manufacturing","Fabrication de fournitures et de matériel médicaux",2019,3391,11.337024000,3
"Medical equipment and supplies manufacturing","Fabrication de fournitures et de matériel médicaux",2015,3391,10.495033000,3
"Medical equipment and supplies manufacturing","Fabrication de fournitures et de matériel médicaux",2018,3391,6.463028000,2
"Medical equipment and supplies manufacturing","Fabrication de fournitures et de matériel médicaux",2017,3391,10.838012000,3
"Medical equipment and supplies manufacturing","Fabrication de fournitures et de matériel médicaux",2022,3391,10.642046000,3
"Medical equipment and supplies manufacturing","Fabrication de fournitures et de matériel médicaux",2016,3391,11.090036000,3
"Metal ore mining","Extraction de minerais métalliques",2017,2122,258299.969662645,96
"Metal ore mining","Extraction de minerais métalliques",2020,2122,140965.594367314,98
"Metal ore mining","Extraction de minerais métalliques",2015,2122,274815.844311568,93
"Metal ore mining","Extraction de minerais métalliques",2016,2122,265570.586125924,89
"Metal ore mining","Extraction de minerais métalliques",2022,2122,165707.153599586,98
"Metal ore mining","Extraction de minerais métalliques",2019,2122,145527.019586828,98
"Metal ore mining","Extraction de minerais métalliques",2021,2122,153705.028619374,99
"Metal ore mining","Extraction de minerais métalliques",2024,2122,191550.820453497,103
"Metal ore mining","Extraction de minerais métalliques",2018,2122,165705.836541388,96
"Metal ore mining","Extraction de minerais métalliques",2023,2122,178441.044788470,102
"Metal service centres","Grossistes-distributeurs de métaux et de produits métalliques",2019,4162,0.006000000,5
"Metal service centres","Grossistes-distributeurs de métaux et de produits métalliques",2016,4162,0.000300000,2
"Metal service centres","Grossistes-distributeurs de métaux et de produits métalliques",2021,4162,0.004000000,3
"Metal service centres","Grossistes-distributeurs de métaux et de produits métalliques",2017,4162,0.006200000,6
"Metal service centres","Grossistes-distributeurs de métaux et de produits métalliques",2018,4162,0.004000000,6
"Metal service centres","Grossistes-distributeurs de métaux et de produits métalliques",2015,4162,0.090500000,7
"Metal service centres","Grossistes-distributeurs de métaux et de produits métalliques",2020,4162,0.004000000,4
"Metal service centres","Grossistes-distributeurs de métaux et de produits métalliques",2024,4162,0.003000000,1
"Metalworking machinery manufacturing","Fabrication de machines-outils pour le travail du métal",2022,3335,0.745525240,7
"Metalworking machinery manufacturing","Fabrication de machines-outils pour le travail du métal",2023,3335,1.059107155,8
"Metalworking machinery manufacturing","Fabrication de machines-outils pour le travail du métal",2016,3335,0.808400000,2
"Metalworking machinery manufacturing","Fabrication de machines-outils pour le travail du métal",2019,3335,1.214451300,8
"Metalworking machinery manufacturing","Fabrication de machines-outils pour le travail du métal",2020,3335,1.380231200,6
"Metalworking machinery manufacturing","Fabrication de machines-outils pour le travail du métal",2018,3335,1.618150800,8
"Metalworking machinery manufacturing","Fabrication de machines-outils pour le travail du métal",2015,3335,0.425000000,2
"Metalworking machinery manufacturing","Fabrication de machines-outils pour le travail du métal",2017,3335,1.188700000,3
"Metalworking machinery manufacturing","Fabrication de machines-outils pour le travail du métal",2021,3335,0.734439226,8
"Metalworking machinery manufacturing","Fabrication de machines-outils pour le travail du métal",2024,3335,1.019571960,7
"Mineral, ore and precious metal merchant wholesalers","Grossistes-marchands de minéraux, de minerais et de métaux précieux",2024,4185,13.800000000,1
